매출등급,대분류업종,대분류업종코드,도로명주소,위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
5,기타,0,경산시 대학로 1543,35.9155381,128.8195564,204,1,15,0,5,0,3,영남대,10647.592476078227,0,1,0,0,0,0,0,1
8,소매업,6,경산시 하양로 13-13,35.9152251,128.825278,234,1,10,0,5,0,1,영남대,10919.878213270844,0,2,0,0,0,0,0,0
9,소매업,6,경산시 원효로28길 5-6,35.8208361,128.751941,173,0,16,1,0,1,1,정평,1374.1235843518646,0,0,0,0,0,0,0,0
6,기타,0,경산시 대평길2길 44,35.843592,128.7291116,82,1,5,1,0,0,0,임당,1516.018898737194,0,0,0,0,0,0,0,0
9,제조업,5,경산시 의송길 23,35.8624452,128.8023743,657,0,2,0,0,0,0,영남대,5320.614996193074,0,0,0,0,0,0,0,0
10,제조업,5,경산시 금박로 473,35.8593068,128.8478114,512,0,4,0,0,0,0,영남대,8939.033971614203,0,0,0,0,0,0,0,0
5,제조업,5,경산시 대학로 280,35.8330177,128.7532086,309,0,4,1,0,1,0,영남대,370.1876815309393,1,1,0,0,0,0,0,0
6,소매업,6,경산시 경안로 198,35.82505270000001,128.7373944,132,2,8,10,6,1,0,정평,110.98261995609194,1,4,3,7,0,0,0,0
4,소매업,6,경산시 대평길1길 1,35.8413635,128.7325688,119,1,10,1,6,0,0,임당,1120.5401574189557,0,0,0,1,0,0,0,0
4,제조업,5,경산시 두인길 32,35.8658343,128.8011541,612,0,2,0,0,0,0,영남대,5445.681112775418,0,0,0,0,0,0,0,0
8,제조업,5,경산시 하남로 290,35.7935279,128.8335789,175,0,6,0,0,0,1,영남대,8697.935297201719,0,1,0,0,0,0,0,0
9,제조업,5,경산시 남천로 511,35.7698687,128.7240502,192,0,6,0,0,1,1,정평,6130.051197157829,0,2,0,0,0,0,0,1
