건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,총점
20,,1.15451E+24,건우,서울특별시 금천구 금하로23길 20,153841,8574,,,,126.9088332,37.45203132,43
14,,1.15451E+24,,서울특별시 금천구 독산로11길 14,153858,8629,,,,126.9050921,37.45203276,10
39,,1.16501E+24,,서울특별시 서초구 홍씨마을길 39,137180,6801,,,,127.0662177,37.4520461,47
43,,1.15451E+24,,서울특별시 금천구 탑골로 43,153841,8575,,1,,126.9139414,37.45206036,15
16,,1.15451E+24,,서울특별시 금천구 시흥대로52길 16,153858,8629,,1,,126.9026504,37.45206418,49
16,,1.15451E+24,,서울특별시 금천구 시흥대로52길 16,153858,8629,,,,126.9026504,37.45206418,60
16,,1.15451E+24,,서울특별시 금천구 시흥대로52길 16,153858,8629,,1,,126.9026504,37.45206418,57
21,,1.15451E+24,,서울특별시 금천구 탑골로 21,153841,8574,,,,126.9114774,37.45206472,18
1,,1.15451E+24,,서울특별시 금천구 탑골로3길 1,153841,8574,,1,,126.91124,37.45207154,43
1,,1.15451E+24,,서울특별시 금천구 탑골로3길 1,153841,8574,,1,,126.91124,37.45207154,7
1,,1.15451E+24,,서울특별시 금천구 탑골로3길 1,153841,8574,,1,,126.91124,37.45207154,96
47,,1.15451E+24,,서울특별시 금천구 탑골로 47,153841,8575,,1,,126.9142801,37.45208149,7
47,,1.15451E+24,,서울특별시 금천구 탑골로 47,153841,8575,,2,,126.9142801,37.45208149,26
47,,1.15451E+24,,서울특별시 금천구 탑골로 47,153841,8575,,1,,126.9142801,37.45208149,10
19,,1.15451E+24,,서울특별시 금천구 금하로23길 19,153841,8573,,3,,126.9084934,37.45208225,29
19,,1.15451E+24,,서울특별시 금천구 금하로23길 19,153841,8573,,1,,126.9084934,37.45208225,65
19,,1.15451E+24,,서울특별시 금천구 금하로23길 19,153841,8573,,2,,126.9084934,37.45208225,34
